Reporting Area,MMWR Year,MMWR Week,"Dengue virus infections, Dengue, Current week","Dengue virus infections, Dengue, Current week, flag","Dengue virus infections, Dengue, Previous 52 weeks Max†","Dengue virus infections, Dengue, Previous 52 weeks Max†, flag","Dengue virus infections, Dengue, Cum 2021†","Dengue virus infections, Dengue, Cum 2021†, flag","Dengue virus infections, Dengue, Cum 2020†","Dengue virus infections, Dengue, Cum 2020†, flag","Dengue virus infections, Dengue-like illness, Current week","Dengue virus infections, Dengue-like illness, Current week, flag","Dengue virus infections, Dengue-like illness, Previous 52 weeks Max†","Dengue virus infections, Dengue-like illness, Previous 52 weeks Max†, flag","Dengue virus infections, Dengue-like illness, Cum 2021†","Dengue virus infections, Dengue-like illness, Cum 2021†, flag","Dengue virus infections, Dengue-like illness, Cum 2020†","Dengue virus infections, Dengue-like illness, Cum 2020†, flag","Dengue virus infections, Severe dengue, Current week","Dengue virus infections, Severe dengue, Current week, flag","Dengue virus infections, Severe dengue, Previous 52 weeks Max†","Dengue virus infections, Severe dengue, Previous 52 weeks Max†, flag","Dengue virus infections, Severe dengue,  Cum 2021†","Dengue virus infections, Severe dengue,  Cum 2021†, flag","Dengue virus infections, Severe dengue,  Cum 2020†","Dengue virus infections, Severe dengue, Cum 2020†, flag",Location 1,Location 2,Reporting Area Sort,geocode
PUERTO RICO,2021,26,,-,30,,237,,241,,,-,7,,46,,27,,,-,3,,15,,10,,PUERTO RICO,,20212667,POINT (-66.414655 18.215692)
MAINE,2021,26,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MAINE,,20212604,POINT (-69.06137 45.117911)
VIRGINIA,2021,26,,-,1,,,-,4,,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20212636,POINT (-78.666382 37.510861)
ARIZONA,2021,26,,-,1,,1,,4,,,-,1,,1,,,-,,-,0,,,-,,-,ARIZONA,,20212649,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2021,26,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20212664,
WISCONSIN,2021,26,,-,1,,,-,6,,,-,0,,,-,,-,,-,1,,,-,,-,WISCONSIN,,20212619,POINT (-89.732969 44.639954)
IDAHO,2021,26,,-,0,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,IDAHO,,20212651,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2021,26,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20212668,POINT (-64.840836 18.060868)
MICHIGAN,2021,26,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20212617,POINT (-85.730977 44.874798)
GEORGIA,2021,26,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20212632,POINT (-83.426574 32.638481)
NEW YORK CITY,2021,26,,-,2,,,-,18,,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20212612,
ARKANSAS,2021,26,,-,0,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,ARKANSAS,,20212644,POINT (-92.439162 34.899825)
MISSISSIPPI,2021,26,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20212641,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2021,26,,-,0,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20212627,POINT (-100.230491 44.43614)
WYOMING,2021,26,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20212656,POINT (-107.55145 42.999627)
MISSOURI,2021,26,,-,1,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,MISSOURI,,20212624,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2021,26,,-,2,,,-,33,,,-,0,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,20212609,
CALIFORNIA,2021,26,,-,7,,,-,38,,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,20212659,POINT (-119.662127 37.211164)
WEST VIRGINIA,2021,26,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,20212637,POINT (-80.613729 38.642579)
FLORIDA,2021,26,,-,15,,7,,30,,,-,0,,,-,1,,,-,0,,,-,,-,FLORIDA,,20212631,POINT (-82.420978 28.260731)
MONTANA,2021,26,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MONTANA,,20212652,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2021,26,,-,2,,2,,7,,,-,0,,,-,,-,,-,0,,,-,,-,,WEST NORTH CENTRAL,20212620,
MASSACHUSETTS,2021,26,,-,1,,,-,11,,,-,0,,,-,,-,,-,0,,,-,,-,MASSACHUSETTS,,20212605,POINT (-71.481104 42.151077)
MOUNTAIN,2021,26,,-,1,,1,,11,,,-,1,,1,,1,,,-,0,,,-,,-,,MOUNTAIN,20212648,
INDIANA,2021,26,,-,0,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20212616,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2021,26,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20212669,
US TERRITORIES,2021,26,,-,30,,238,,243,,,-,7,,46,,27,,,-,3,,15,,10,,,US TERRITORIES,20212663,
U.S. VIRGIN ISLANDS,2021,34,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20213468,POINT (-64.840836 18.060868)
MICHIGAN,2021,34,,-,1,,2,,1,,,-,0,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20213417,POINT (-85.730977 44.874798)
GEORGIA,2021,34,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20213432,POINT (-83.426574 32.638481)
NEW YORK CITY,2021,34,,-,2,,,-,21,,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20213412,
ARKANSAS,2021,34,,-,0,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,ARKANSAS,,20213444,POINT (-92.439162 34.899825)
MISSISSIPPI,2021,34,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20213441,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2021,34,,-,0,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20213427,POINT (-100.230491 44.43614)
WYOMING,2021,34,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20213456,POINT (-107.55145 42.999627)
MISSOURI,2021,34,,-,0,,,-,3,,,-,0,,,-,,-,,-,0,,,-,,-,MISSOURI,,20213424,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2021,34,,-,2,,2,,36,,,-,0,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,20213409,
CALIFORNIA,2021,34,,-,2,,3,,,-,,-,0,,,-,1,,,-,0,,,-,,-,CALIFORNIA,,20213459,POINT (-119.662127 37.211164)
PACIFIC,2021,45,,-,5,,15,,93,,,-,0,,,-,1,,,-,0,,,-,,-,,PACIFIC,20214557,
WEST SOUTH CENTRAL,2021,29,,-,13,,3,,12,,,-,1,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20212943,
NEBRASKA,2021,29,,-,2,,2,,2,,,-,0,,,-,,-,,-,0,,,-,,-,NEBRASKA,,20212925,POINT (-99.810595 41.527099)
