Year,Travel status,Jurisdiction,Count,Legend,Notes
2014,All,MN,3,1 to 4,NA
2014,All,MO,2,1 to 4,NA
2014,All,MS,2,1 to 4,NA
2014,All,MT,2,1 to 4,NA
2014,All,NV,3,1 to 4,NA
2014,All,SC,2,1 to 4,NA
2014,All,TN,2,1 to 4,NA
2014,All,VT,4,1 to 4,NA
2014,All,WV,1,1 to 4,NA
2014,All,CO,10,5 to 49,NA
2014,All,HI,10,5 to 49,NA
2014,All,IL,7,5 to 49,NA
2014,All,IN,5,5 to 49,NA
2014,All,MA,17,5 to 49,NA
2014,All,MD,8,5 to 49,NA
2014,All,MI,5,5 to 49,NA
2014,All,NC,8,5 to 49,NA
2014,All,NH,5,5 to 49,NA
2014,All,OH,9,5 to 49,NA
2014,All,PA,6,5 to 49,NA
2014,All,RI,5,5 to 49,NA
2014,All,TX,34,5 to 49,NA
2014,All,VA,15,5 to 49,NA
2014,All,VI,19,5 to 49,NA
2014,All,WA,9,5 to 49,NA
2014,All,WI,8,5 to 49,NA
2014,All,AZ,97,50 to 249,NA
2014,All,CA,128,50 to 249,NA
2014,All,FL,83,50 to 249,NA
2014,All,NJ,82,50 to 249,NA
2014,All,NY,69,50 to 249,NA
2014,All,PR,526,250+,NA
2015,All,AL,3,1 to 4,NA
2015,All,AR,1,1 to 4,NA
2015,All,DE,1,1 to 4,NA
2015,All,IA,4,1 to 4,NA
2015,All,ID,3,1 to 4,NA
2015,All,KS,4,1 to 4,NA
2015,All,KY,1,1 to 4,NA
2015,All,LA,4,1 to 4,NA
2015,All,ME,4,1 to 4,NA
2015,All,MO,3,1 to 4,NA
2015,All,MS,2,1 to 4,NA
2015,All,MT,4,1 to 4,NA
2015,All,ND,1,1 to 4,NA
2015,All,NE,2,1 to 4,NA
2015,All,NH,1,1 to 4,NA
2015,All,NM,3,1 to 4,NA
2015,All,NV,1,1 to 4,NA
2015,All,OK,2,1 to 4,NA
2015,All,RI,3,1 to 4,NA
2015,All,SC,4,1 to 4,NA
2015,All,SD,2,1 to 4,NA
2015,All,UT,1,1 to 4,NA
2015,All,VI,3,1 to 4,NA
2015,All,VT,3,1 to 4,NA
2015,All,WV,1,1 to 4,NA
2015,All,AZ,17,5 to 49,NA
2015,All,CO,12,5 to 49,NA
2015,All,CT,5,5 to 49,NA
2015,All,DC,11,5 to 49,NA
2015,All,GA,8,5 to 49,NA
2015,All,IL,29,5 to 49,NA
2015,All,MA,8,5 to 49,NA
2015,All,MD,13,5 to 49,NA
2015,All,MI,16,5 to 49,NA
2015,All,MN,21,5 to 49,NA
2015,All,NC,9,5 to 49,NA
2015,All,OH,11,5 to 49,NA
2015,All,OR,5,5 to 49,NA
2015,All,PA,23,5 to 49,NA
2015,All,TN,13,5 to 49,NA
