year,week,start.date,end.date,district,cases
2025,4,2025-01-11,2025-01-17,Kegalle,34
2025,4,2025-01-11,2025-01-17,Kalmune,20
2025,5,2025-01-18,2025-01-24,Colombo,284
2025,5,2025-01-18,2025-01-24,Gampaha,184
2025,5,2025-01-18,2025-01-24,Kalutara,38
2025,5,2025-01-18,2025-01-24,Kandy,62
2025,5,2025-01-18,2025-01-24,Matale,39
2025,5,2025-01-18,2025-01-24,NuwaraEliya,10
2025,5,2025-01-18,2025-01-24,Galle,48
2025,5,2025-01-18,2025-01-24,Hambantota,24
2025,5,2025-01-18,2025-01-24,Matara,32
2025,5,2025-01-18,2025-01-24,Jaffna,57
2025,5,2025-01-18,2025-01-24,Kilinochchi,6
2025,5,2025-01-18,2025-01-24,Mannar,7
2025,5,2025-01-18,2025-01-24,Vavuniya,2
2025,5,2025-01-18,2025-01-24,Mullaitivu,4
2025,5,2025-01-18,2025-01-24,Batticaloa,64
2025,5,2025-01-18,2025-01-24,Ampara,3
2025,5,2025-01-18,2025-01-24,Trincomalee,23
2025,5,2025-01-18,2025-01-24,Kurunegala,34
2025,5,2025-01-18,2025-01-24,Puttalam,16
2025,5,2025-01-18,2025-01-24,Anuradhapura,16
2025,5,2025-01-18,2025-01-24,Polonnaruwa,3
2025,5,2025-01-18,2025-01-24,Badulla,27
2025,5,2025-01-18,2025-01-24,Monaragala,24
2025,5,2025-01-18,2025-01-24,Ratnapura,70
2025,5,2025-01-18,2025-01-24,Kegalle,26
2025,5,2025-01-18,2025-01-24,Kalmune,13
2025,6,2025-01-25,2025-01-31,Colombo,225
2025,6,2025-01-25,2025-01-31,Gampaha,162
2025,6,2025-01-25,2025-01-31,Kalutara,29
2025,6,2025-01-25,2025-01-31,Kandy,80
2025,6,2025-01-25,2025-01-31,Matale,45
2025,6,2025-01-25,2025-01-31,NuwaraEliya,6
2025,6,2025-01-25,2025-01-31,Galle,53
2025,6,2025-01-25,2025-01-31,Hambantota,22
2025,6,2025-01-25,2025-01-31,Matara,59
2025,6,2025-01-25,2025-01-31,Jaffna,39
2025,6,2025-01-25,2025-01-31,Kilinochchi,3
2025,6,2025-01-25,2025-01-31,Mannar,12
2025,6,2025-01-25,2025-01-31,Vavuniya,3
2025,6,2025-01-25,2025-01-31,Mullaitivu,1
2025,6,2025-01-25,2025-01-31,Batticaloa,53
2025,6,2025-01-25,2025-01-31,Ampara,4
2025,6,2025-01-25,2025-01-31,Trincomalee,22
2025,6,2025-01-25,2025-01-31,Kurunegala,18
2025,6,2025-01-25,2025-01-31,Puttalam,22
2025,6,2025-01-25,2025-01-31,Anuradhapura,22
2025,6,2025-01-25,2025-01-31,Polonnaruwa,8
2025,6,2025-01-25,2025-01-31,Badulla,26
2025,6,2025-01-25,2025-01-31,Monaragala,20
2025,6,2025-01-25,2025-01-31,Ratnapura,58
2025,6,2025-01-25,2025-01-31,Kegalle,24
2025,6,2025-01-25,2025-01-31,Kalmune,9
2025,7,2025-02-01,2025-02-07,Colombo,252
2025,7,2025-02-01,2025-02-07,Gampaha,131
2025,7,2025-02-01,2025-02-07,Kalutara,29
2025,7,2025-02-01,2025-02-07,Kandy,50
2025,7,2025-02-01,2025-02-07,Matale,38
2025,7,2025-02-01,2025-02-07,NuwaraEliya,4
2025,7,2025-02-01,2025-02-07,Galle,44
2025,7,2025-02-01,2025-02-07,Hambantota,15
2025,7,2025-02-01,2025-02-07,Matara,34
2025,7,2025-02-01,2025-02-07,Jaffna,35
2025,7,2025-02-01,2025-02-07,Kilinochchi,2
2025,7,2025-02-01,2025-02-07,Mannar,3
2025,7,2025-02-01,2025-02-07,Vavuniya,2
2025,7,2025-02-01,2025-02-07,Mullaitivu,2
2025,7,2025-02-01,2025-02-07,Batticaloa,60
2025,7,2025-02-01,2025-02-07,Ampara,3
2025,7,2025-02-01,2025-02-07,Trincomalee,28
2025,7,2025-02-01,2025-02-07,Kurunegala,27
2025,7,2025-02-01,2025-02-07,Puttalam,16
2025,7,2025-02-01,2025-02-07,Anuradhapura,39
2025,7,2025-02-01,2025-02-07,Polonnaruwa,10
2025,7,2025-02-01,2025-02-07,Badulla,17
2025,7,2025-02-01,2025-02-07,Monaragala,6
2025,7,2025-02-01,2025-02-07,Ratnapura,47
2025,7,2025-02-01,2025-02-07,Kegalle,29
2025,7,2025-02-01,2025-02-07,Kalmune,14
2025,8,2025-02-08,2025-02-14,Colombo,252
2025,8,2025-02-08,2025-02-14,Gampaha,131
2025,8,2025-02-08,2025-02-14,Kalutara,29
2025,8,2025-02-08,2025-02-14,Kandy,50
2025,8,2025-02-08,2025-02-14,Matale,38
2025,8,2025-02-08,2025-02-14,NuwaraEliya,4
2025,8,2025-02-08,2025-02-14,Galle,44
2025,8,2025-02-08,2025-02-14,Hambantota,15
2025,8,2025-02-08,2025-02-14,Matara,34
2025,8,2025-02-08,2025-02-14,Jaffna,35
2025,8,2025-02-08,2025-02-14,Kilinochchi,2
2025,8,2025-02-08,2025-02-14,Mannar,3
2025,8,2025-02-08,2025-02-14,Vavuniya,2
2025,8,2025-02-08,2025-02-14,Mullaitivu,2
2025,8,2025-02-08,2025-02-14,Batticaloa,60
2025,8,2025-02-08,2025-02-14,Ampara,3
2025,8,2025-02-08,2025-02-14,Trincomalee,28
2025,8,2025-02-08,2025-02-14,Kurunegala,27
2025,8,2025-02-08,2025-02-14,Puttalam,16
2025,8,2025-02-08,2025-02-14,Anuradhapura,39
2025,8,2025-02-08,2025-02-14,Polonnaruwa,10
2025,8,2025-02-08,2025-02-14,Badulla,17
2025,8,2025-02-08,2025-02-14,Monaragala,6
2025,8,2025-02-08,2025-02-14,Ratnapura,47
2025,8,2025-02-08,2025-02-14,Kegalle,29
2025,8,2025-02-08,2025-02-14,Kalmune,14
2025,9,2025-02-15,2025-02-21,Colombo,217
2025,9,2025-02-15,2025-02-21,Gampaha,132
2025,9,2025-02-15,2025-02-21,Kalutara,44
2025,9,2025-02-15,2025-02-21,Kandy,63
2025,9,2025-02-15,2025-02-21,Matale,40
2025,9,2025-02-15,2025-02-21,NuwaraEliya,6
2025,9,2025-02-15,2025-02-21,Galle,43
2025,9,2025-02-15,2025-02-21,Hambantota,10
2025,9,2025-02-15,2025-02-21,Matara,35
2025,9,2025-02-15,2025-02-21,Jaffna,30
2025,9,2025-02-15,2025-02-21,Kilinochchi,2
2025,9,2025-02-15,2025-02-21,Mannar,4
2025,9,2025-02-15,2025-02-21,Vavuniya,0
2025,9,2025-02-15,2025-02-21,Mullaitivu,0
2025,9,2025-02-15,2025-02-21,Batticaloa,81
2025,9,2025-02-15,2025-02-21,Ampara,5
2025,9,2025-02-15,2025-02-21,Trincomalee,29
2025,9,2025-02-15,2025-02-21,Kurunegala,20
2025,9,2025-02-15,2025-02-21,Puttalam,24
2025,9,2025-02-15,2025-02-21,Anuradhapura,24
2025,9,2025-02-15,2025-02-21,Polonnaruwa,9
2025,9,2025-02-15,2025-02-21,Badulla,8
2025,9,2025-02-15,2025-02-21,Monaragala,15
2025,9,2025-02-15,2025-02-21,Ratnapura,50
2025,9,2025-02-15,2025-02-21,Kegalle,35
2025,9,2025-02-15,2025-02-21,Kalmune,10
2025,10,2025-02-22,2025-02-28,Colombo,219
2025,10,2025-02-22,2025-02-28,Gampaha,119
2025,10,2025-02-22,2025-02-28,Kalutara,31
2025,10,2025-02-22,2025-02-28,Kandy,58
2025,10,2025-02-22,2025-02-28,Matale,28
2025,10,2025-02-22,2025-02-28,NuwaraEliya,2
2025,10,2025-02-22,2025-02-28,Galle,21
2025,10,2025-02-22,2025-02-28,Hambantota,12
2025,10,2025-02-22,2025-02-28,Matara,24
2025,10,2025-02-22,2025-02-28,Jaffna,28
2025,10,2025-02-22,2025-02-28,Kilinochchi,1
2025,10,2025-02-22,2025-02-28,Mannar,3
2025,10,2025-02-22,2025-02-28,Vavuniya,5
2025,10,2025-02-22,2025-02-28,Mullaitivu,1
2025,10,2025-02-22,2025-02-28,Batticaloa,59
2025,10,2025-02-22,2025-02-28,Ampara,4
2025,10,2025-02-22,2025-02-28,Trincomalee,25
2025,10,2025-02-22,2025-02-28,Kurunegala,25
2025,10,2025-02-22,2025-02-28,Puttalam,23
2025,10,2025-02-22,2025-02-28,Anuradhapura,18
2025,10,2025-02-22,2025-02-28,Polonnaruwa,6
2025,10,2025-02-22,2025-02-28,Badulla,11
2025,10,2025-02-22,2025-02-28,Monaragala,10
2025,10,2025-02-22,2025-02-28,Ratnapura,47
2025,10,2025-02-22,2025-02-28,Kegalle,22
2025,10,2025-02-22,2025-02-28,Kalmune,7
2025,11,2025-03-01,2025-03-07,Colombo,262
2025,11,2025-03-01,2025-03-07,Gampaha,142
2025,11,2025-03-01,2025-03-07,Kalutara,43
2025,11,2025-03-01,2025-03-07,Kandy,49
2025,11,2025-03-01,2025-03-07,Matale,39
2025,11,2025-03-01,2025-03-07,NuwaraEliya,2
2025,11,2025-03-01,2025-03-07,Galle,40
2025,11,2025-03-01,2025-03-07,Hambantota,17
2025,11,2025-03-01,2025-03-07,Matara,50
2025,11,2025-03-01,2025-03-07,Jaffna,15
2025,11,2025-03-01,2025-03-07,Kilinochchi,3
2025,11,2025-03-01,2025-03-07,Mannar,0
2025,11,2025-03-01,2025-03-07,Vavuniya,0
2025,11,2025-03-01,2025-03-07,Mullaitivu,1
2025,11,2025-03-01,2025-03-07,Batticaloa,56
2025,11,2025-03-01,2025-03-07,Ampara,0
2025,11,2025-03-01,2025-03-07,Trincomalee,17
2025,11,2025-03-01,2025-03-07,Kurunegala,17
2025,11,2025-03-01,2025-03-07,Puttalam,24
2025,11,2025-03-01,2025-03-07,Anuradhapura,25
2025,11,2025-03-01,2025-03-07,Polonnaruwa,18
2025,11,2025-03-01,2025-03-07,Badulla,3
2025,11,2025-03-01,2025-03-07,Monaragala,17
2025,11,2025-03-01,2025-03-07,Ratnapura,13
2025,11,2025-03-01,2025-03-07,Kegalle,43
2025,11,2025-03-01,2025-03-07,Kalmune,16
