year,week,start.date,end.date,district,cases
2024,51,2024-12-07,2024-12-13,Colombo,247
2024,51,2024-12-07,2024-12-13,Gampaha,161
2024,51,2024-12-07,2024-12-13,Kalutara,32
2024,51,2024-12-07,2024-12-13,Kandy,73
2024,51,2024-12-07,2024-12-13,Matale,38
2024,51,2024-12-07,2024-12-13,NuwaraEliya,1
2024,51,2024-12-07,2024-12-13,Galle,34
2024,51,2024-12-07,2024-12-13,Hambantota,12
2024,51,2024-12-07,2024-12-13,Matara,11
2024,51,2024-12-07,2024-12-13,Jaffna,60
2024,51,2024-12-07,2024-12-13,Kilinochchi,8
2024,51,2024-12-07,2024-12-13,Mannar,2
2024,51,2024-12-07,2024-12-13,Vavuniya,4
2024,51,2024-12-07,2024-12-13,Mullaitivu,5
2024,51,2024-12-07,2024-12-13,Batticaloa,30
2024,51,2024-12-07,2024-12-13,Ampara,4
2024,51,2024-12-07,2024-12-13,Trincomalee,20
2024,51,2024-12-07,2024-12-13,Kurunegala,14
2024,51,2024-12-07,2024-12-13,Puttalam,31
2024,51,2024-12-07,2024-12-13,Anuradhapura,18
2024,51,2024-12-07,2024-12-13,Polonnaruwa,5
2024,51,2024-12-07,2024-12-13,Badulla,19
2024,51,2024-12-07,2024-12-13,Monaragala,22
2024,51,2024-12-07,2024-12-13,Ratnapura,44
2024,51,2024-12-07,2024-12-13,Kegalle,14
2024,51,2024-12-07,2024-12-13,Kalmune,6
2024,52,2024-12-14,2024-12-20,Colombo,220
2024,52,2024-12-14,2024-12-20,Gampaha,103
2024,52,2024-12-14,2024-12-20,Kalutara,49
2024,52,2024-12-14,2024-12-20,Kandy,57
2024,52,2024-12-14,2024-12-20,Matale,52
2024,52,2024-12-14,2024-12-20,NuwaraEliya,3
2024,52,2024-12-14,2024-12-20,Galle,27
2024,52,2024-12-14,2024-12-20,Hambantota,22
2024,52,2024-12-14,2024-12-20,Matara,12
2024,52,2024-12-14,2024-12-20,Jaffna,76
2024,52,2024-12-14,2024-12-20,Kilinochchi,6
2024,52,2024-12-14,2024-12-20,Mannar,8
2024,52,2024-12-14,2024-12-20,Vavuniya,4
2024,52,2024-12-14,2024-12-20,Mullaitivu,2
2024,52,2024-12-14,2024-12-20,Batticaloa,35
2024,52,2024-12-14,2024-12-20,Ampara,1
2024,52,2024-12-14,2024-12-20,Trincomalee,19
2024,52,2024-12-14,2024-12-20,Kurunegala,25
2024,52,2024-12-14,2024-12-20,Puttalam,39
2024,52,2024-12-14,2024-12-20,Anuradhapura,22
2024,52,2024-12-14,2024-12-20,Polonnaruwa,3
2024,52,2024-12-14,2024-12-20,Badulla,20
2024,52,2024-12-14,2024-12-20,Monaragala,13
2024,52,2024-12-14,2024-12-20,Ratnapura,20
2024,52,2024-12-14,2024-12-20,Kegalle,17
2024,52,2024-12-14,2024-12-20,Kalmune,5
