year,week,start.date,end.date,district,cases
2024,32,2024-08-03,2024-08-09,Colombo,279
2024,32,2024-08-03,2024-08-09,Gampaha,174
2024,32,2024-08-03,2024-08-09,Kalutara,50
2024,32,2024-08-03,2024-08-09,Kandy,120
2024,32,2024-08-03,2024-08-09,Matale,14
2024,32,2024-08-03,2024-08-09,NuwaraEliya,5
2024,32,2024-08-03,2024-08-09,Galle,46
2024,32,2024-08-03,2024-08-09,Hambantota,5
2024,32,2024-08-03,2024-08-09,Matara,29
2024,32,2024-08-03,2024-08-09,Jaffna,6
2024,32,2024-08-03,2024-08-09,Kilinochchi,6
2024,32,2024-08-03,2024-08-09,Mannar,3
2024,32,2024-08-03,2024-08-09,Vavuniya,0
2024,32,2024-08-03,2024-08-09,Mullaitivu,1
2024,32,2024-08-03,2024-08-09,Batticaloa,20
2024,32,2024-08-03,2024-08-09,Ampara,5
2024,32,2024-08-03,2024-08-09,Trincomalee,12
2024,32,2024-08-03,2024-08-09,Kurunegala,39
2024,32,2024-08-03,2024-08-09,Puttalam,24
2024,32,2024-08-03,2024-08-09,Anuradhapura,10
2024,32,2024-08-03,2024-08-09,Polonnaruwa,4
2024,32,2024-08-03,2024-08-09,Badulla,18
2024,32,2024-08-03,2024-08-09,Monaragala,12
2024,32,2024-08-03,2024-08-09,Ratnapura,51
2024,32,2024-08-03,2024-08-09,Kegalle,20
2024,33,2024-08-10,2024-08-16,Colombo,266
2024,33,2024-08-10,2024-08-16,Gampaha,123
2024,33,2024-08-10,2024-08-16,Kalutara,48
2024,33,2024-08-10,2024-08-16,Kandy,114
2024,33,2024-08-10,2024-08-16,Matale,18
2024,33,2024-08-10,2024-08-16,NuwaraEliya,10
2024,33,2024-08-10,2024-08-16,Galle,40
2024,33,2024-08-10,2024-08-16,Hambantota,8
2024,33,2024-08-10,2024-08-16,Matara,38
2024,33,2024-08-10,2024-08-16,Jaffna,11
2024,33,2024-08-10,2024-08-16,Kilinochchi,3
2024,33,2024-08-10,2024-08-16,Mannar,10
2024,33,2024-08-10,2024-08-16,Vavuniya,5
2024,33,2024-08-10,2024-08-16,Mullaitivu,1
2024,33,2024-08-10,2024-08-16,Batticaloa,22
2024,33,2024-08-10,2024-08-16,Ampara,9
2024,33,2024-08-10,2024-08-16,Trincomalee,10
2024,33,2024-08-10,2024-08-16,Kurunegala,31
