year,week,start.date,end.date,district,cases
2024,3,2024-01-13,2024-01-19,Kegalle,77
2024,4,2024-01-20,2024-01-26,Colombo,499
2024,4,2024-01-20,2024-01-26,Gampaha,150
2024,4,2024-01-20,2024-01-26,Kalutara,96
2024,4,2024-01-20,2024-01-26,Kandy,186
2024,4,2024-01-20,2024-01-26,Matale,28
2024,4,2024-01-20,2024-01-26,NuwaraEliya,18
2024,4,2024-01-20,2024-01-26,Galle,119
2024,4,2024-01-20,2024-01-26,Hambantota,50
2024,4,2024-01-20,2024-01-26,Matara,32
2024,4,2024-01-20,2024-01-26,Jaffna,746
2024,4,2024-01-20,2024-01-26,Kilinochchi,41
2024,4,2024-01-20,2024-01-26,Mannar,10
2024,4,2024-01-20,2024-01-26,Vavuniya,19
2024,4,2024-01-20,2024-01-26,Mullaitivu,23
2024,4,2024-01-20,2024-01-26,Batticaloa,88
2024,4,2024-01-20,2024-01-26,Ampara,11
2024,4,2024-01-20,2024-01-26,Trincomalee,42
2024,4,2024-01-20,2024-01-26,Kurunegala,135
2024,4,2024-01-20,2024-01-26,Puttalam,76
2024,4,2024-01-20,2024-01-26,Anuradhapura,34
2024,4,2024-01-20,2024-01-26,Polonnaruwa,12
2024,4,2024-01-20,2024-01-26,Badulla,53
2024,4,2024-01-20,2024-01-26,Monaragala,48
2024,4,2024-01-20,2024-01-26,Ratnapura,67
2024,4,2024-01-20,2024-01-26,Kegalle,91
2024,5,2024-01-27,2024-02-02,Colombo,349
2024,5,2024-01-27,2024-02-02,Gampaha,144
2024,5,2024-01-27,2024-02-02,Kalutara,118
2024,5,2024-01-27,2024-02-02,Kandy,126
2024,5,2024-01-27,2024-02-02,Matale,22
2024,5,2024-01-27,2024-02-02,NuwaraEliya,13
2024,5,2024-01-27,2024-02-02,Galle,111
2024,5,2024-01-27,2024-02-02,Hambantota,37
2024,5,2024-01-27,2024-02-02,Matara,29
2024,5,2024-01-27,2024-02-02,Jaffna,483
2024,5,2024-01-27,2024-02-02,Kilinochchi,22
2024,5,2024-01-27,2024-02-02,Mannar,19
2024,5,2024-01-27,2024-02-02,Vavuniya,5
2024,5,2024-01-27,2024-02-02,Mullaitivu,11
2024,5,2024-01-27,2024-02-02,Batticaloa,67
2024,5,2024-01-27,2024-02-02,Ampara,12
2024,5,2024-01-27,2024-02-02,Trincomalee,29
2024,5,2024-01-27,2024-02-02,Kurunegala,103
2024,5,2024-01-27,2024-02-02,Puttalam,52
2024,5,2024-01-27,2024-02-02,Anuradhapura,11
2024,5,2024-01-27,2024-02-02,Polonnaruwa,10
2024,5,2024-01-27,2024-02-02,Badulla,24
2024,5,2024-01-27,2024-02-02,Monaragala,36
2024,5,2024-01-27,2024-02-02,Ratnapura,72
2024,5,2024-01-27,2024-02-02,Kegalle,73
2024,6,2024-02-03,2024-02-09,Colombo,382
2024,6,2024-02-03,2024-02-09,Gampaha,165
2024,6,2024-02-03,2024-02-09,Kalutara,113
2024,6,2024-02-03,2024-02-09,Kandy,126
2024,6,2024-02-03,2024-02-09,Matale,27
2024,6,2024-02-03,2024-02-09,NuwaraEliya,18
2024,6,2024-02-03,2024-02-09,Galle,103
2024,6,2024-02-03,2024-02-09,Hambantota,29
2024,6,2024-02-03,2024-02-09,Matara,26
2024,6,2024-02-03,2024-02-09,Jaffna,410
2024,6,2024-02-03,2024-02-09,Kilinochchi,26
2024,6,2024-02-03,2024-02-09,Mannar,21
2024,6,2024-02-03,2024-02-09,Vavuniya,7
2024,6,2024-02-03,2024-02-09,Mullaitivu,22
2024,6,2024-02-03,2024-02-09,Batticaloa,82
2024,6,2024-02-03,2024-02-09,Ampara,14
2024,6,2024-02-03,2024-02-09,Trincomalee,31
2024,6,2024-02-03,2024-02-09,Kurunegala,108
2024,6,2024-02-03,2024-02-09,Puttalam,34
2024,6,2024-02-03,2024-02-09,Anuradhapura,69
2024,6,2024-02-03,2024-02-09,Polonnaruwa,19
2024,6,2024-02-03,2024-02-09,Badulla,44
2024,6,2024-02-03,2024-02-09,Monaragala,21
2024,6,2024-02-03,2024-02-09,Ratnapura,82
2024,6,2024-02-03,2024-02-09,Kegalle,89
2024,7,2024-02-10,2024-02-16,Colombo,286
2024,7,2024-02-10,2024-02-16,Gampaha,155
2024,7,2024-02-10,2024-02-16,Kalutara,81
2024,7,2024-02-10,2024-02-16,Kandy,86
2024,7,2024-02-10,2024-02-16,Matale,30
2024,7,2024-02-10,2024-02-16,NuwaraEliya,9
2024,7,2024-02-10,2024-02-16,Galle,66
2024,7,2024-02-10,2024-02-16,Hambantota,14
2024,7,2024-02-10,2024-02-16,Matara,23
2024,7,2024-02-10,2024-02-16,Jaffna,292
2024,7,2024-02-10,2024-02-16,Kilinochchi,22
2024,7,2024-02-10,2024-02-16,Mannar,2
2024,7,2024-02-10,2024-02-16,Vavuniya,3
2024,7,2024-02-10,2024-02-16,Mullaitivu,8
2024,7,2024-02-10,2024-02-16,Batticaloa,61
2024,7,2024-02-10,2024-02-16,Ampara,19
2024,7,2024-02-10,2024-02-16,Trincomalee,33
2024,7,2024-02-10,2024-02-16,Kurunegala,26
2024,7,2024-02-10,2024-02-16,Puttalam,102
2024,7,2024-02-10,2024-02-16,Anuradhapura,29
2024,7,2024-02-10,2024-02-16,Polonnaruwa,41
2024,7,2024-02-10,2024-02-16,Badulla,12
2024,7,2024-02-10,2024-02-16,Monaragala,15
2024,7,2024-02-10,2024-02-16,Ratnapura,14
2024,7,2024-02-10,2024-02-16,Kegalle,48
2024,8,2024-02-17,2024-02-23,Colombo,NA
2024,8,2024-02-17,2024-02-23,Gampaha,NA
2024,8,2024-02-17,2024-02-23,Kalutara,NA
2024,8,2024-02-17,2024-02-23,Kandy,NA
2024,8,2024-02-17,2024-02-23,Matale,NA
2024,8,2024-02-17,2024-02-23,NuwaraEliya,NA
2024,8,2024-02-17,2024-02-23,Galle,NA
2024,8,2024-02-17,2024-02-23,Hambantota,NA
2024,8,2024-02-17,2024-02-23,Matara,NA
2024,8,2024-02-17,2024-02-23,Jaffna,NA
