year,week,start.date,end.date,district,cases
2025,12,3/8/2025,3/14/2025,Colombo,214
2025,12,3/8/2025,3/14/2025,Gampaha,132
2025,12,3/8/2025,3/14/2025,Kalutara,37
2025,12,3/8/2025,3/14/2025,Kandy,59
2025,12,3/8/2025,3/14/2025,Matale,22
2025,12,3/8/2025,3/14/2025,NuwaraEliya,1
2025,12,3/8/2025,3/14/2025,Galle,24
2025,12,3/8/2025,3/14/2025,Hambantota,14
2025,12,3/8/2025,3/14/2025,Matara,32
2025,12,3/8/2025,3/14/2025,Jaffna,23
2025,12,3/8/2025,3/14/2025,Kilinochchi,6
2025,12,3/8/2025,3/14/2025,Mannar,2
2025,12,3/8/2025,3/14/2025,Vavuniya,1
2025,12,3/8/2025,3/14/2025,Mullaitivu,3
2025,12,3/8/2025,3/14/2025,Batticaloa,31
2025,12,3/8/2025,3/14/2025,Ampara,3
2025,12,3/8/2025,3/14/2025,Trincomalee,25
2025,12,3/8/2025,3/14/2025,Kurunegala,23
2025,12,3/8/2025,3/14/2025,Puttalam,15
2025,12,3/8/2025,3/14/2025,Anuradhapura,12
2025,12,3/8/2025,3/14/2025,Polonnaruwa,3
2025,12,3/8/2025,3/14/2025,Badulla,17
2025,12,3/8/2025,3/14/2025,Monaragala,23
2025,12,3/8/2025,3/14/2025,Ratnapura,46
2025,12,3/8/2025,3/14/2025,Kegalle,20
2025,12,3/8/2025,3/14/2025,Kalmune,8
2025,13,3/15/2025,3/21/2025,Colombo,242
2025,13,3/15/2025,3/21/2025,Gampaha,125
2025,13,3/15/2025,3/21/2025,Kalutara,35
2025,13,3/15/2025,3/21/2025,Kandy,59
2025,13,3/15/2025,3/21/2025,Matale,20
2025,13,3/15/2025,3/21/2025,NuwaraEliya,6
2025,13,3/15/2025,3/21/2025,Galle,35
2025,13,3/15/2025,3/21/2025,Hambantota,18
2025,13,3/15/2025,3/21/2025,Matara,30
2025,13,3/15/2025,3/21/2025,Jaffna,25
2025,13,3/15/2025,3/21/2025,Kilinochchi,0
2025,13,3/15/2025,3/21/2025,Mannar,2
2025,13,3/15/2025,3/21/2025,Vavuniya,1
2025,13,3/15/2025,3/21/2025,Mullaitivu,0
2025,13,3/15/2025,3/21/2025,Batticaloa,28
2025,13,3/15/2025,3/21/2025,Ampara,3
2025,13,3/15/2025,3/21/2025,Trincomalee,23
2025,13,3/15/2025,3/21/2025,Kurunegala,21
2025,13,3/15/2025,3/21/2025,Puttalam,10
2025,13,3/15/2025,3/21/2025,Anuradhapura,8
2025,13,3/15/2025,3/21/2025,Polonnaruwa,6
2025,13,3/15/2025,3/21/2025,Badulla,6
2025,13,3/15/2025,3/21/2025,Monaragala,24
2025,13,3/15/2025,3/21/2025,Ratnapura,56
2025,13,3/15/2025,3/21/2025,Kegalle,32
2025,13,3/15/2025,3/21/2025,Kalmune,6
2025,14,3/22/2025,3/28/2025,Colombo,239
2025,14,3/22/2025,3/28/2025,Gampaha,135
2025,14,3/22/2025,3/28/2025,Kalutara,30
2025,14,3/22/2025,3/28/2025,Kandy,56
2025,14,3/22/2025,3/28/2025,Matale,32
2025,14,3/22/2025,3/28/2025,NuwaraEliya,4
2025,14,3/22/2025,3/28/2025,Galle,31
2025,14,3/22/2025,3/28/2025,Hambantota,12
2025,14,3/22/2025,3/28/2025,Matara,44
2025,14,3/22/2025,3/28/2025,Jaffna,24
2025,14,3/22/2025,3/28/2025,Kilinochchi,2
2025,14,3/22/2025,3/28/2025,Mannar,4
2025,14,3/22/2025,3/28/2025,Vavuniya,1
2025,14,3/22/2025,3/28/2025,Mullaitivu,0
2025,14,3/22/2025,3/28/2025,Batticaloa,28
2025,14,3/22/2025,3/28/2025,Ampara,2
2025,14,3/22/2025,3/28/2025,Trincomalee,28
2025,14,3/22/2025,3/28/2025,Kurunegala,19
2025,14,3/22/2025,3/28/2025,Puttalam,14
2025,14,3/22/2025,3/28/2025,Anuradhapura,9
2025,14,3/22/2025,3/28/2025,Polonnaruwa,4
2025,14,3/22/2025,3/28/2025,Badulla,12
2025,14,3/22/2025,3/28/2025,Monaragala,21
2025,14,3/22/2025,3/28/2025,Ratnapura,45
2025,14,3/22/2025,3/28/2025,Kegalle,24
2025,14,3/22/2025,3/28/2025,Kalmune,10
2025,15,3/29/2025,4/4/2025,Colombo,204
2025,15,3/29/2025,4/4/2025,Gampaha,135
2025,15,3/29/2025,4/4/2025,Kalutara,39
2025,15,3/29/2025,4/4/2025,Kandy,65
2025,15,3/29/2025,4/4/2025,Matale,21
2025,15,3/29/2025,4/4/2025,NuwaraEliya,3
2025,15,3/29/2025,4/4/2025,Galle,34
2025,15,3/29/2025,4/4/2025,Hambantota,13
2025,15,3/29/2025,4/4/2025,Matara,38
2025,15,3/29/2025,4/4/2025,Jaffna,15
2025,15,3/29/2025,4/4/2025,Kilinochchi,0
2025,15,3/29/2025,4/4/2025,Mannar,2
2025,15,3/29/2025,4/4/2025,Vavuniya,3
2025,15,3/29/2025,4/4/2025,Mullaitivu,2
2025,15,3/29/2025,4/4/2025,Batticaloa,46
2025,15,3/29/2025,4/4/2025,Ampara,5
2025,15,3/29/2025,4/4/2025,Trincomalee,36
2025,15,3/29/2025,4/4/2025,Kurunegala,19
2025,15,3/29/2025,4/4/2025,Puttalam,11
2025,15,3/29/2025,4/4/2025,Anuradhapura,6
2025,15,3/29/2025,4/4/2025,Polonnaruwa,5
2025,15,3/29/2025,4/4/2025,Badulla,9
2025,15,3/29/2025,4/4/2025,Monaragala,15
2025,15,3/29/2025,4/4/2025,Ratnapura,54
2025,15,3/29/2025,4/4/2025,Kegalle,20
2025,15,3/29/2025,4/4/2025,Kalmune,10
2025,16,4/5/2025,4/11/2025,Colombo,277
2025,16,4/5/2025,4/11/2025,Gampaha,137
2025,16,4/5/2025,4/11/2025,Kalutara,36
2025,16,4/5/2025,4/11/2025,Kandy,50
2025,16,4/5/2025,4/11/2025,Matale,30
2025,16,4/5/2025,4/11/2025,NuwaraEliya,1
2025,16,4/5/2025,4/11/2025,Galle,29
2025,16,4/5/2025,4/11/2025,Hambantota,10
2025,16,4/5/2025,4/11/2025,Matara,32
2025,16,4/5/2025,4/11/2025,Jaffna,11
2025,16,4/5/2025,4/11/2025,Kilinochchi,1
2025,16,4/5/2025,4/11/2025,Mannar,1
2025,16,4/5/2025,4/11/2025,Vavuniya,0
2025,16,4/5/2025,4/11/2025,Mullaitivu,2
2025,16,4/5/2025,4/11/2025,Batticaloa,70
2025,16,4/5/2025,4/11/2025,Ampara,7
2025,16,4/5/2025,4/11/2025,Trincomalee,33
2025,16,4/5/2025,4/11/2025,Kurunegala,17
2025,16,4/5/2025,4/11/2025,Puttalam,8
2025,16,4/5/2025,4/11/2025,Anuradhapura,3
2025,16,4/5/2025,4/11/2025,Polonnaruwa,6
2025,16,4/5/2025,4/11/2025,Badulla,18
2025,16,4/5/2025,4/11/2025,Monaragala,29
2025,16,4/5/2025,4/11/2025,Ratnapura,146
2025,16,4/5/2025,4/11/2025,Kegalle,29
2025,16,4/5/2025,4/11/2025,Kalmune,15
2025,17,4/12/2025,4/18/2025,Colombo,230
2025,17,4/12/2025,4/18/2025,Gampaha,171
2025,17,4/12/2025,4/18/2025,Kalutara,42
2025,17,4/12/2025,4/18/2025,Kandy,53
2025,17,4/12/2025,4/18/2025,Matale,28
2025,17,4/12/2025,4/18/2025,NuwaraEliya,3
2025,17,4/12/2025,4/18/2025,Galle,23
2025,17,4/12/2025,4/18/2025,Hambantota,12
2025,17,4/12/2025,4/18/2025,Matara,35
2025,17,4/12/2025,4/18/2025,Jaffna,18
2025,17,4/12/2025,4/18/2025,Kilinochchi,1
2025,17,4/12/2025,4/18/2025,Mannar,2
2025,17,4/12/2025,4/18/2025,Vavuniya,5
2025,17,4/12/2025,4/18/2025,Mullaitivu,1
2025,17,4/12/2025,4/18/2025,Batticaloa,62
2025,17,4/12/2025,4/18/2025,Ampara,6
2025,17,4/12/2025,4/18/2025,Trincomalee,44
2025,17,4/12/2025,4/18/2025,Kurunegala,13
2025,17,4/12/2025,4/18/2025,Puttalam,7
2025,17,4/12/2025,4/18/2025,Anuradhapura,4
2025,17,4/12/2025,4/18/2025,Polonnaruwa,5
2025,17,4/12/2025,4/18/2025,Badulla,11
2025,17,4/12/2025,4/18/2025,Monaragala,27
2025,17,4/12/2025,4/18/2025,Ratnapura,146
2025,17,4/12/2025,4/18/2025,Kegalle,13
2025,17,4/12/2025,4/18/2025,Kalmune,7
2025,18,4/19/2025,4/25/2025,Colombo,306
2025,18,4/19/2025,4/25/2025,Gampaha,166
