year,week,start.date,end.date,district,cases
2024,1,2023-12-23,2023-12-29,Colombo,375
2024,1,2023-12-23,2023-12-29,Gampaha,146
2024,1,2023-12-23,2023-12-29,Kalutara,89
2024,1,2023-12-23,2023-12-29,Kandy,330
2024,1,2023-12-23,2023-12-29,Matale,71
2024,1,2023-12-23,2023-12-29,NuwaraEliya,13
2024,1,2023-12-23,2023-12-29,Galle,93
2024,1,2023-12-23,2023-12-29,Hambanthota,18
2024,1,2023-12-23,2023-12-29,Matara,20
2024,1,2023-12-23,2023-12-29,Jaffna,746
2024,1,2023-12-23,2023-12-29,Kilinochchi,17
2024,1,2023-12-23,2023-12-29,Mannar,25
2024,1,2023-12-23,2023-12-29,Vavuniya,19
2024,1,2023-12-23,2023-12-29,Mullaitivu,24
2024,1,2023-12-23,2023-12-29,Batticaloa,113
2024,1,2023-12-23,2023-12-29,Ampara,5
2024,1,2023-12-23,2023-12-29,Trincomalee,23
2024,1,2023-12-23,2023-12-29,Kurunegala,164
2024,1,2023-12-23,2023-12-29,Puttalam,63
2024,1,2023-12-23,2023-12-29,Anuradhapura,42
2024,1,2023-12-23,2023-12-29,Polonnaruwa,8
2024,1,2023-12-23,2023-12-29,Badulla,120
2024,1,2023-12-23,2023-12-29,Monaragala,29
2024,1,2023-12-23,2023-12-29,Ratnapura,54
2024,1,2023-12-23,2023-12-29,Kegalle,119
2024,1,2023-12-23,2023-12-29,Kalmune,34
2024,2,2023-12-30,2024-01-05,Colombo,299
2024,2,2023-12-30,2024-01-05,Gampaha,146
2024,2,2023-12-30,2024-01-05,Kalutara,77
2024,2,2023-12-30,2024-01-05,Kandy,237
2024,2,2023-12-30,2024-01-05,Matale,40
2024,2,2023-12-30,2024-01-05,NuwaraEliya,19
2024,2,2023-12-30,2024-01-05,Galle,107
2024,2,2023-12-30,2024-01-05,Hambanthota,38
2024,2,2023-12-30,2024-01-05,Matara,46
2024,2,2023-12-30,2024-01-05,Jaffna,623
2024,2,2023-12-30,2024-01-05,Kilinochchi,29
2024,2,2023-12-30,2024-01-05,Mannar,53
