year,week,start.date,end.date,district,cases
2023,52,12/24/2022,12/30/2022,Colombo,25
2023,52,12/24/2022,12/30/2022,Gampaha,23
2023,52,12/24/2022,12/30/2022,Kalutara,74
2023,52,12/24/2022,12/30/2022,Kandy,50
2023,52,12/24/2022,12/30/2022,Matale,25
2023,52,12/24/2022,12/30/2022,NuwaraEliya,3
2023,52,12/24/2022,12/30/2022,Galle,28
2023,52,12/24/2022,12/30/2022,Hambantota,13
2023,52,12/24/2022,12/30/2022,Matara,22
2023,52,12/24/2022,12/30/2022,Jaffna,12
2023,52,12/24/2022,12/30/2022,Kilinochchi,8
2023,52,12/24/2022,12/30/2022,Mannar,7
2023,52,12/24/2022,12/30/2022,Vavuniya,1
2023,52,12/24/2022,12/30/2022,Mullaitivu,4
2023,52,12/24/2022,12/30/2022,Batticaloa,23
2023,52,12/24/2022,12/30/2022,Ampara,3
2023,52,12/24/2022,12/30/2022,Trincomalee,23
2023,52,12/24/2022,12/30/2022,Kurunegala,51
2023,52,12/24/2022,12/30/2022,Puttalam,21
2023,52,12/24/2022,12/30/2022,Anuradhapura,9
2023,52,12/24/2022,12/30/2022,Polonnaruwa,9
2023,52,12/24/2022,12/30/2022,Badulla,29
2023,52,12/24/2022,12/30/2022,Monaragala,5
2023,52,12/24/2022,12/30/2022,Ratnapura,26
2023,52,12/24/2022,12/30/2022,Kegalle,46
2023,52,12/24/2022,12/30/2022,Kalmune,17
2023,1,12/31/2022,1/6/2023,Colombo,196
2023,1,12/31/2022,1/6/2023,Gampaha,188
2023,1,12/31/2022,1/6/2023,Kalutara,80
2023,1,12/31/2022,1/6/2023,Kandy,72
2023,1,12/31/2022,1/6/2023,Matale,38
2023,1,12/31/2022,1/6/2023,NuwaraEliya,5
2023,1,12/31/2022,1/6/2023,Galle,24
2023,1,12/31/2022,1/6/2023,Hambantota,14
2023,1,12/31/2022,1/6/2023,Matara,34
2023,1,12/31/2022,1/6/2023,Jaffna,127
2023,1,12/31/2022,1/6/2023,Kilinochchi,3
2023,1,12/31/2022,1/6/2023,Mannar,2
