year,week,start.date,end.date,district,cases
2026,53,12/20/2025,12/26/2025,Colombo,388
2026,53,12/20/2025,12/26/2025,Gampaha,259
2026,53,12/20/2025,12/26/2025,Kalutara,85
2026,53,12/20/2025,12/26/2025,Kandy,86
2026,53,12/20/2025,12/26/2025,Matale,30
2026,53,12/20/2025,12/26/2025,NuwaraEliya,15
2026,53,12/20/2025,12/26/2025,Galle,88
2026,53,12/20/2025,12/26/2025,Hambantota,49
2026,53,12/20/2025,12/26/2025,Matara,69
2026,53,12/20/2025,12/26/2025,Jaffna,54
2026,53,12/20/2025,12/26/2025,Kilinochchi,4
2026,53,12/20/2025,12/26/2025,Mannar,2
2026,53,12/20/2025,12/26/2025,Vavuniya,4
2026,53,12/20/2025,12/26/2025,Mullaitivu,0
2026,53,12/20/2025,12/26/2025,Batticaloa,15
2026,53,12/20/2025,12/26/2025,Ampara,7
2026,53,12/20/2025,12/26/2025,Trincomalee,18
2026,53,12/20/2025,12/26/2025,Kurunegala,37
2026,53,12/20/2025,12/26/2025,Puttalam,25
2026,53,12/20/2025,12/26/2025,Anuradhapura,23
2026,53,12/20/2025,12/26/2025,Polonnaruwa,14
2026,53,12/20/2025,12/26/2025,Badulla,28
2026,53,12/20/2025,12/26/2025,Monaragala,22
2026,53,12/20/2025,12/26/2025,Ratnapura,59
2026,53,12/20/2025,12/26/2025,Kegalle,42
2026,53,12/20/2025,12/26/2025,Kalmune,20
2026,1,12/29/2025,1/4/2026,Colombo,434
2026,1,12/29/2025,1/4/2026,Gampaha,305
2026,1,12/29/2025,1/4/2026,Kalutara,116
2026,1,12/29/2025,1/4/2026,Kandy,91
2026,1,12/29/2025,1/4/2026,Matale,32
2026,1,12/29/2025,1/4/2026,NuwaraEliya,7
2026,1,12/29/2025,1/4/2026,Galle,63
2026,1,12/29/2025,1/4/2026,Hambantota,60
2026,1,12/29/2025,1/4/2026,Matara,79
2026,1,12/29/2025,1/4/2026,Jaffna,64
2026,1,12/29/2025,1/4/2026,Kilinochchi,2
2026,1,12/29/2025,1/4/2026,Mannar,2
2026,1,12/29/2025,1/4/2026,Vavuniya,3
2026,1,12/29/2025,1/4/2026,Mullaitivu,1
2026,1,12/29/2025,1/4/2026,Batticaloa,18
2026,1,12/29/2025,1/4/2026,Ampara,10
2026,1,12/29/2025,1/4/2026,Trincomalee,15
2026,1,12/29/2025,1/4/2026,Kurunegala,36
2026,1,12/29/2025,1/4/2026,Puttalam,21
2026,1,12/29/2025,1/4/2026,Anuradhapura,23
2026,1,12/29/2025,1/4/2026,Polonnaruwa,14
2026,1,12/29/2025,1/4/2026,Badulla,25
2026,1,12/29/2025,1/4/2026,Monaragala,16
2026,1,12/29/2025,1/4/2026,Ratnapura,63
2026,1,12/29/2025,1/4/2026,Kegalle,54
2026,1,12/29/2025,1/4/2026,Kalmune,15
2026,2,1/5/2026,1/11/2026,Colombo,594
2026,2,1/5/2026,1/11/2026,Gampaha,298
2026,2,1/5/2026,1/11/2026,Kalutara,116
2026,2,1/5/2026,1/11/2026,Kandy,106
2026,2,1/5/2026,1/11/2026,Matale,33
2026,2,1/5/2026,1/11/2026,NuwaraEliya,9
2026,2,1/5/2026,1/11/2026,Galle,128
2026,2,1/5/2026,1/11/2026,Hambantota,63
2026,2,1/5/2026,1/11/2026,Matara,123
2026,2,1/5/2026,1/11/2026,Jaffna,44
2026,2,1/5/2026,1/11/2026,Kilinochchi,3
2026,2,1/5/2026,1/11/2026,Mannar,4
2026,2,1/5/2026,1/11/2026,Vavuniya,2
2026,2,1/5/2026,1/11/2026,Mullaitivu,6
2026,2,1/5/2026,1/11/2026,Batticaloa,16
2026,2,1/5/2026,1/11/2026,Ampara,21
2026,2,1/5/2026,1/11/2026,Trincomalee,26
2026,2,1/5/2026,1/11/2026,Kurunegala,51
2026,2,1/5/2026,1/11/2026,Puttalam,46
2026,2,1/5/2026,1/11/2026,Anuradhapura,27
2026,2,1/5/2026,1/11/2026,Polonnaruwa,9
2026,2,1/5/2026,1/11/2026,Badulla,40
2026,2,1/5/2026,1/11/2026,Monaragala,32
2026,2,1/5/2026,1/11/2026,Ratnapura,94
2026,2,1/5/2026,1/11/2026,Kegalle,48
2026,2,1/5/2026,1/11/2026,Kalmune,18
2026,3,1/12/2026,1/18/2026,Colombo,555
2026,3,1/12/2026,1/18/2026,Gampaha,234
2026,3,1/12/2026,1/18/2026,Kalutara,91
2026,3,1/12/2026,1/18/2026,Kandy,66
2026,3,1/12/2026,1/18/2026,Matale,25
2026,3,1/12/2026,1/18/2026,NuwaraEliya,9
2026,3,1/12/2026,1/18/2026,Galle,148
2026,3,1/12/2026,1/18/2026,Hambantota,92
2026,3,1/12/2026,1/18/2026,Matara,180
2026,3,1/12/2026,1/18/2026,Jaffna,37
2026,3,1/12/2026,1/18/2026,Kilinochchi,2
2026,3,1/12/2026,1/18/2026,Mannar,0
2026,3,1/12/2026,1/18/2026,Vavuniya,4
2026,3,1/12/2026,1/18/2026,Mullaitivu,7
2026,3,1/12/2026,1/18/2026,Batticaloa,49
2026,3,1/12/2026,1/18/2026,Ampara,14
2026,3,1/12/2026,1/18/2026,Trincomalee,20
2026,3,1/12/2026,1/18/2026,Kurunegala,44
2026,3,1/12/2026,1/18/2026,Puttalam,26
2026,3,1/12/2026,1/18/2026,Anuradhapura,20
2026,3,1/12/2026,1/18/2026,Polonnaruwa,19
2026,3,1/12/2026,1/18/2026,Badulla,29
2026,3,1/12/2026,1/18/2026,Monaragala,26
2026,3,1/12/2026,1/18/2026,Ratnapura,101
2026,3,1/12/2026,1/18/2026,Kegalle,50
2026,3,1/12/2026,1/18/2026,Kalmune,26
2026,4,1/19/2026,1/25/2026,Colombo,484
2026,4,1/19/2026,1/25/2026,Gampaha,269
2026,4,1/19/2026,1/25/2026,Kalutara,98
2026,4,1/19/2026,1/25/2026,Kandy,84
2026,4,1/19/2026,1/25/2026,Matale,37
2026,4,1/19/2026,1/25/2026,NuwaraEliya,16
2026,4,1/19/2026,1/25/2026,Galle,129
2026,4,1/19/2026,1/25/2026,Hambantota,88
2026,4,1/19/2026,1/25/2026,Matara,148
2026,4,1/19/2026,1/25/2026,Jaffna,46
2026,4,1/19/2026,1/25/2026,Kilinochchi,2
2026,4,1/19/2026,1/25/2026,Mannar,2
2026,4,1/19/2026,1/25/2026,Vavuniya,6
2026,4,1/19/2026,1/25/2026,Mullaitivu,3
2026,4,1/19/2026,1/25/2026,Batticaloa,42
2026,4,1/19/2026,1/25/2026,Ampara,19
2026,4,1/19/2026,1/25/2026,Trincomalee,16
2026,4,1/19/2026,1/25/2026,Kurunegala,44
2026,4,1/19/2026,1/25/2026,Puttalam,25
2026,4,1/19/2026,1/25/2026,Anuradhapura,14
2026,4,1/19/2026,1/25/2026,Polonnaruwa,11
2026,4,1/19/2026,1/25/2026,Badulla,27
2026,4,1/19/2026,1/25/2026,Monaragala,23
2026,4,1/19/2026,1/25/2026,Ratnapura,93
2026,4,1/19/2026,1/25/2026,Kegalle,50
2026,4,1/19/2026,1/25/2026,Kalmune,37
2026,5,1/26/2026,2/1/2026,Colombo,447
2026,5,1/26/2026,2/1/2026,Gampaha,191
2026,5,1/26/2026,2/1/2026,Kalutara,101
2026,5,1/26/2026,2/1/2026,Kandy,56
2026,5,1/26/2026,2/1/2026,Matale,43
2026,5,1/26/2026,2/1/2026,NuwaraEliya,13
2026,5,1/26/2026,2/1/2026,Galle,116
2026,5,1/26/2026,2/1/2026,Hambantota,52
2026,5,1/26/2026,2/1/2026,Matara,148
2026,5,1/26/2026,2/1/2026,Jaffna,51
2026,5,1/26/2026,2/1/2026,Kilinochchi,5
2026,5,1/26/2026,2/1/2026,Mannar,3
2026,5,1/26/2026,2/1/2026,Vavuniya,5
2026,5,1/26/2026,2/1/2026,Mullaitivu,3
2026,5,1/26/2026,2/1/2026,Batticaloa,58
